date,campaign_id,campaign_name,channel,impressions,clicks,spend,conversions,revenue
2024-12-01,C001,Summer_Sale,Google,1250000,28750,4500.00,575,12650.00
2024-12-01,C002,Brand_Awareness,Facebook,2100000,21000,6300.00,210,4620.00
2024-12-01,C003,Retargeting,Google,450000,13500,2250.00,405,8910.00
2024-12-01,C004,New_Users,TikTok,3200000,64000,9600.00,320,5760.00
2024-12-01,C005,Holiday_Promo,Instagram,890000,17800,3560.00,356,9256.00
2024-12-02,C001,Summer_Sale,Google,1180000,27140,4248.00,543,11946.00
2024-12-02,C002,Brand_Awareness,Facebook,2250000,22500,6750.00,225,4950.00
2024-12-02,C003,Retargeting,Google,480000,15360,2592.00,461,10142.00
2024-12-02,C004,New_Users,TikTok,2900000,58000,8700.00,290,5220.00
2024-12-02,C005,Holiday_Promo,Instagram,920000,19320,3864.00,386,10036.00
2024-12-03,C001,Summer_Sale,Google,1320000,31680,4752.00,634,13948.00
2024-12-03,C002,Brand_Awareness,Facebook,1980000,19800,5940.00,198,4356.00
2024-12-03,C003,Retargeting,Google,510000,16830,2805.00,505,11110.00
2024-12-03,C004,New_Users,TikTok,3400000,68000,10200.00,340,6120.00
2024-12-03,C005,Holiday_Promo,Instagram,950000,20900,4180.00,418,10868.00